Conformer,Initial PE (kcal/mol),Minimized PE (kcal/mol),RMS between initial and minimized conformer (Angstrom)
307,-107.690,-115.228,0.056
308,-95.889,-112.458,0.082
309,-57.753,-108.649,0.104
310,-54.982,-105.635,0.098
311,-81.857,-105.570,0.089
312,-79.628,-105.809,0.081
313,-85.423,-107.618,0.071
314,-91.943,-110.996,0.070
315,-102.679,-115.040,0.062
316,-110.539,-118.392,0.048
317,-112.823,-120.038,0.043
318,-110.570,-120.346,0.052
319,-103.909,-119.505,0.069
320,-45.749,-117.530,0.100
321,207.381,-113.927,0.128
322,244.491,-111.583,0.129
323,-28.931,-114.370,0.097
324,-102.256,-117.004,0.066
325,-110.181,-118.323,0.050
326,-111.034,-118.726,0.049
327,-111.657,-118.716,0.045
328,-111.812,-118.559,0.042
329,-111.261,-118.009,0.041
330,-110.061,-116.869,0.042
331,-107.892,-115.213,0.047
332,-101.380,-112.864,0.072
333,-78.744,-109.157,0.089
334,-62.612,-105.539,0.090
335,-83.202,-104.883,0.078
336,-86.966,-105.804,0.072
337,-13.626,-103.015,0.116
338,488.989,-98.521,0.221
339,33801.089,-48.543,0.709
340,125763.365,22.813,0.457
341,3093.085,-27.841,0.431
342,-28.471,-114.718,0.119
343,-76.772,-117.361,0.091
344,-87.225,-116.905,0.082
345,-41.921,-115.295,0.099
346,16.569,-113.243,0.106
347,-50.345,-114.019,0.085
348,-100.427,-116.769,0.070
349,-108.235,-116.988,0.052
350,-96.203,-115.368,0.084
351,57.476,-112.133,0.125
352,112.600,-111.075,0.148
353,-86.280,-112.595,0.092
354,-105.427,-113.426,0.050
355,-106.275,-113.221,0.044
356,-105.103,-111.789,0.042
357,-101.767,-109.279,0.047
358,-95.034,-106.871,0.064
359,-79.928,-105.497,0.079
360,-51.312,-104.501,0.089
361,-87.507,-98.983,0.062
362,-91.209,-101.621,0.058
363,-96.217,-105.165,0.053
364,-100.016,-108.635,0.053
365,-102.597,-112.070,0.057
366,-105.000,-113.855,0.053
367,-92.048,-113.206,0.069
368,2.786,-110.339,0.095
369,144.792,-108.733,0.106
370,12.779,-114.026,0.099
371,-89.066,-119.779,0.081
372,-109.415,-123.065,0.069
373,-112.587,-124.712,0.072
374,-112.054,-124.388,0.079
375,-110.445,-121.949,0.071
376,-108.614,-119.345,0.065
377,-106.750,-117.111,0.062
378,-104.570,-114.853,0.060
379,-98.986,-111.813,0.074
380,-74.415,-107.193,0.092
381,-33.220,-102.654,0.100
382,-61.777,-101.255,0.095
383,-83.121,-99.630,0.080
384,-86.173,-98.504,0.069
